task,participant,effort_overall,change_effort_overall,effort_speech,effort_secondary,change_effort_speech,change_effort_secondary,attention_overall,change_attention_overall,attention_speech,attention_secondary,change_attention_speech,change_attention_secondary
speech_td_0_12,611d566639d0da04c1620458,70,25,90,71,-34,12,78,-19,76,53,40,-7
speech_td_0_12,5c43501db00b3300018f44ed,92,44,100,53,0,0,100,9,100,71,0,0
speech_td_0_12,612254264332f1adcccb4eb0,92,85,81,97,-15,79,100,82,100,100,18,-13
speech_td_0_12,61066f06d4b6cd3f83a65d75,79,31,85,64,20,66,100,38,99,88,80,47
speech_td_0_12,607a97c0504dccc5d52c9fbf,62,3,56,0,5,0,97,0,91,72,0,22
speech_td_0_12,611d2cc49af322d296ac4117,73,-46,32,100,19,-52,86,-32,88,36,32,36
speech_td_0_12,6147de7f93ed0795016ee6e5,60,11,85,100,50,85,100,10,100,100,20,17
speech_td_0_12,5e836a1b22884f0956a9a5a7,75,0,25,100,0,0,100,0,100,100,0,0
speech_td_0_12,6072f8908ca848cb61dcce5d,79,-19,92,92,-4,-12,92,-17,88,83,-9,-33
speech_td_0_12,6113c40096ab28c32b48bfc5,90,10,40,95,5,20,100,0,100,100,0,0
speech_td_0_12,568fd94f7d961b000c96f0bf,75,-40,25,100,-50,0,100,0,100,50,0,0
speech_td_0_12,5f2aec7bad745643d7271f4c,61,63,42,81,54,71,100,0,80,30,0,-30
speech_td_0_12,60de3369f37763f93f8c92ae,100,-50,80,0,-20,0,100,30,100,70,20,-10
speech_td_0_12,5a539d0b76d1c60001aabd7a,100,0,100,100,0,0,100,0,100,85,0,0
speech_td_0_12,609c010662a75f7f78ad58f0,90,-16,90,100,0,0,100,0,95,95,0,0
speech_td_0_12,60420bb25042bc00088c5376,59,32,59,28,20,25,79,-1,80,30,-10,-10
speech_td_0_12,5f33ef6fec8505257de5581e,70,30,70,95,50,10,95,0,95,90,0,0
speech_td_0_12,611a634c7e0e602c9a6b3ad1,62,-30,58,79,-25,-5,95,0,100,85,0,0
