participant,trial,task,sentence,answer,keyword_1,keyword_2,keyword_3,count_correct,prompt,answer.1,response,correctness,rt
5cc05157d123740017213d7f,1,phon_replication,bkbf0602,The mother stirs the tea,mother,stirs,tea,0,sunglasses,No,No,1,549.4
5cc05157d123740017213d7f,2,phon_replication,bkbf0913,The dinner plate's hot,dinner,plates,hot,0,dolphin,Yes,Yes,1,1035.7
5cc05157d123740017213d7f,3,phon_replication,bkbf0414,The cooks making a cake,cooks,making,cake,3,turbine,Yes,No,0,666.9
5cc05157d123740017213d7f,4,phon_replication,bkbf0714,The orange was quite sweet,orange,quite,sweet,3,microphone,No,No,1,443.8
5cc05157d123740017213d7f,5,phon_replication,bkbf0615,The broom stood in the corner,broom,stood,corner,3,trampoline,No,No,1,318.3
5cc05157d123740017213d7f,6,phon_replication,bkbf1907,A grocer sells butter,grocer,sells,butter,1,ladybird,No,No,1,269.4
5cc05157d123740017213d7f,7,phon_replication,bkbf0502,The matches lie on the shelf,matches,lie,shelf,1,motorbike,No,No,1,514.2
5cc05157d123740017213d7f,8,phon_replication,bkbf0512,Somebody took the money,Somebody,took,money,3,pyjamas,No,No,1,316.6
5cc05157d123740017213d7f,9,phon_replication,bkbf0912,The lady packed her bag,lady,packed,bag,3,basketball,No,No,1,267.3
5cc05157d123740017213d7f,10,phon_replication,bkbf0210,The police chased the car,police,chased,car,3,boiler,Yes,Yes,1,240.2
5cc05157d123740017213d7f,11,phon_replication,bkbf1212,The children help the milkman,children,help,milkman,2,reindeer,Yes,Yes,1,246.2
5cc05157d123740017213d7f,12,phon_replication,bkbf0109,The postman shut the gate,postman,shut,gate,3,guitar,Yes,No,0,264
5cc05157d123740017213d7f,13,phon_replication,bkbf1205,The taps are above the sink,taps,above,sink,2,lizard,Yes,Yes,1,245.7
5cc05157d123740017213d7f,14,phon_replication,bkbf2012,The raincoat's hanging up,raincoats,hanging,up,3,chimpanzee,No,No,1,265.3
5cc05157d123740017213d7f,15,phon_replication,bkbf0501,The bath towel was wet,bath,towel,wet,3,container,No,No,1,219.3
5cc05157d123740017213d7f,16,phon_replication,bkbf1616,The painter used a brush,painter,used,brush,3,jellyfish,No,No,1,415.7
5cc05157d123740017213d7f,17,phon_replication,bkbf1415,The grass is getting long,grass,getting,long,3,rhino,Yes,Yes,1,281.7
5cc05157d123740017213d7f,18,phon_replication,bkbf0213,Some sticks were under the tree,sticks,under,tree,3,lipstick,Yes,Yes,1,293.8
5cc05157d123740017213d7f,19,phon_replication,bkbf1906,The cleaner swept the floor,cleaner,swept,floor,3,antelope,No,No,1,166.3
5cc05157d123740017213d7f,20,phon_replication,bkbf2016,The flower stands in a pot,flower,stands,pot,3,mosquito,No,No,1,294.2
5cc05157d123740017213d7f,21,phon_replication,bkbf0812,The bus stopped suddenly,bus,stopped,suddenly,3,detector,No,No,1,244.7
5cc05157d123740017213d7f,22,phon_replication,bkbf0216,The school finished early,school,finished,early,3,headphones,Yes,No,0,469.5
5cc05157d123740017213d7f,23,phon_replication,bkbf1701,The apple pie's cooking,apple,pies,cooking,3,woodpecker,No,No,1,292.1
5cc05157d123740017213d7f,24,phon_replication,bkbf2112,The cricket team's playing,cricket,teams,playing,3,cockerel,No,Yes,0,474.4
5cc05157d123740017213d7f,25,phon_replication,bkbf1609,Some men shave in the morning,men,shave,morning,3,kangaroo,No,No,1,802.6
5cc05157d123740017213d7f,26,phon_replication,bkbf0206,The thin dog was hungry,thin,dog,hungry,3,statue,Yes,Yes,1,264.1
5cc05157d123740017213d7f,27,phon_replication,bkbf0204,The old gloves are dirty,old,gloves,dirty,1,scissors,Yes,Yes,1,292.6
5cc05157d123740017213d7f,28,phon_replication,bkbf0310,The man cleaned his shoes,man,cleaned,shoes,3,lighthouse,Yes,Yes,1,246.5
5cc05157d123740017213d7f,29,phon_replication,bkbf1215,The boy had a toy dragon,boy,toy,dragon,3,tortoise,Yes,Yes,1,356.8
5cc05157d123740017213d7f,30,phon_replication,bkbf0803,The match boxes are empty,match,boxes,empty,3,computer,No,No,1,326.7
5cc05157d123740017213d7f,31,phon_replication,bkbf1008,Someones crossing the road,Someones,crossing,road,3,penguin,Yes,Yes,1,271.1
5cc05157d123740017213d7f,32,phon_replication,bkbf1203,The front garden was pretty,front,garden,pretty,3,giraffe,Yes,Yes,1,213
5cc05157d123740017213d7f,33,phon_replication,bkbf1301,The fruit came in a box,fruit,came,box,3,leopard,Yes,Yes,1,186
5cc05157d123740017213d7f,34,phon_replication,bkbf0906,A letter fell on the mat,letter,fell,mat,1,camera,No,No,1,1102.9
5cc05157d123740017213d7f,35,phon_replication,bkbf0201,The ladder's near the door,ladders,near,door,3,cupboard,Yes,Yes,1,234.7
5cc05157d123740017213d7f,36,phon_replication,bkbf1516,The puppy plays with a ball,puppy,plays,ball,3,octopus,No,No,1,305.1
5cc05157d123740017213d7f,37,phon_replication,bkbf2110,The egg cups are on the table,egg,cups,table,3,dragonfly,No,No,1,226.6
5cc05157d123740017213d7f,38,phon_replication,bkbf0411,The jam jar was full,jam,jar,full,3,slipper,Yes,Yes,1,329.7
5cc05157d123740017213d7f,39,phon_replication,bkbf1208,The bread van's coming,bread,vans,coming,2,hamster,Yes,Yes,1,236.5
5cc05157d123740017213d7f,40,phon_replication,bkbf1408,The kitchen window was clean,kitchen,window,clean,3,hedgehog,Yes,Yes,1,335.5
5de3f5bd5d4f973ef7ee3d5e,1,phon_replication,bkbf0602,The mother stirs the tea,mother,stirs,tea,0,sunglasses,No,timeout,0,3002.4
5de3f5bd5d4f973ef7ee3d5e,2,phon_replication,bkbf1212,The children help the milkman,children,help,milkman,1,reindeer,Yes,Yes,1,1325.8
5de3f5bd5d4f973ef7ee3d5e,3,phon_replication,bkbf1516,The puppy plays with a ball,puppy,plays,ball,0,octopus,No,No,1,496.9
5de3f5bd5d4f973ef7ee3d5e,4,phon_replication,bkbf0913,The dinner plate's hot,dinner,plates,hot,2,dolphin,Yes,Yes,1,479.8000001
5de3f5bd5d4f973ef7ee3d5e,5,phon_replication,bkbf1906,The cleaner swept the floor,cleaner,swept,floor,2,antelope,No,No,1,391.3
5de3f5bd5d4f973ef7ee3d5e,6,phon_replication,bkbf1203,The front garden was pretty,front,garden,pretty,3,giraffe,Yes,Yes,1,413.6
5de3f5bd5d4f973ef7ee3d5e,7,phon_replication,bkbf0803,The match boxes are empty,match,boxes,empty,3,computer,No,No,1,749.3
5de3f5bd5d4f973ef7ee3d5e,8,phon_replication,bkbf0714,The orange was quite sweet,orange,quite,sweet,3,microphone,No,Yes,0,1222.7
5de3f5bd5d4f973ef7ee3d5e,9,phon_replication,bkbf1609,Some men shave in the morning,men,shave,morning,3,kangaroo,No,No,1,1176.4
5de3f5bd5d4f973ef7ee3d5e,10,phon_replication,bkbf1616,The painter used a brush,painter,used,brush,0,jellyfish,No,Yes,0,395
5de3f5bd5d4f973ef7ee3d5e,11,phon_replication,bkbf0109,The postman shut the gate,postman,shut,gate,0,guitar,Yes,No,0,933.1
5de3f5bd5d4f973ef7ee3d5e,12,phon_replication,bkbf1215,The boy had a toy dragon,boy,toy,dragon,3,tortoise,Yes,Yes,1,540
5de3f5bd5d4f973ef7ee3d5e,13,phon_replication,bkbf1408,The kitchen window was clean,kitchen,window,clean,3,hedgehog,Yes,Yes,1,452.3
5de3f5bd5d4f973ef7ee3d5e,14,phon_replication,bkbf0512,Somebody took the money,Somebody,took,money,3,pyjamas,No,Yes,0,481.9
5de3f5bd5d4f973ef7ee3d5e,15,phon_replication,bkbf1208,The bread van's coming,bread,vans,coming,3,hamster,Yes,Yes,1,647.1
5de3f5bd5d4f973ef7ee3d5e,16,phon_replication,bkbf0812,The bus stopped suddenly,bus,stopped,suddenly,3,detector,No,No,1,483.3000001
5de3f5bd5d4f973ef7ee3d5e,17,phon_replication,bkbf0213,Some sticks were under the tree,sticks,under,tree,3,lipstick,Yes,Yes,1,431.7
5de3f5bd5d4f973ef7ee3d5e,18,phon_replication,bkbf0201,The ladder's near the door,ladders,near,door,0,cupboard,Yes,No,0,789
5de3f5bd5d4f973ef7ee3d5e,19,phon_replication,bkbf0615,The broom stood in the corner,broom,stood,corner,0,trampoline,No,No,1,354.6
