participant,task,effort_overall,change_effort_overall,effort_speech,effort_secondary,change_effort_speech,change_effort_secondary,attention_overall,change_attention_overall,attention_speech,attention_secondary,change_attention_speech,change_attention_secondary
5cc05157d123740017213d7f,phon_replication,80,-40,40,10,-40,-100,100,0,100,100,0,0
5de3f5bd5d4f973ef7ee3d5e,phon_replication,86,0,81,100,21,92,100,58,100,98,34,85
5dec1798e4f840300cd3c680,phon_replication,52,15,15,57,15,1,88,93,58,99,95,0
5dfa688379f2fa7b1cdf180f,phon_replication,81,0,24,0,37,0,98,86,62,34,-40,-95
5f1ace65d6e11922208bb234,phon_replication,96,-23,97,86,0,0,0,-37,100,100,0,0
604e634b32d4a6d79fe6dff9,phon_replication,6,10,36,20,13,0,100,0,40,12,-22,9
611e1863e4d7d4394472e628,phon_replication,80,0,93,64,14,17,96,0,100,90,0,0
612e309706778a2e8d27df01,phon_replication,83,-23,83,11,-22,-16,100,0,100,87,0,14
6133e26782a731be97c9fbe9,phon_replication,76,48,69,55,42,55,90,59,95,90,55,63
613b32ca6f9656c9d4d55379,phon_replication,100,3,70,80,0,0,100,0,100,90,0,0
613e4fe98859554b7170871b,phon_replication,100,12,98,30,10,90,100,1,76,63,41,-10
613f82fc82d93614c23ff1d7,phon_replication,74,20,93,91,11,0,96,41,93,97,9,6
6140c3a90a6dd68626f82791,phon_replication,81,-51,62,33,-46,-40,93,23,84,87,9,-23
61433565248d94ca5a6d011d,phon_replication,100,40,59,81,70,70,100,0,100,100,0,-30
61477e9be291ae8f774256e4,phon_replication,74,19,91,81,38,-24,100,38,77,79,34,35
61478270c4b50c2a4f1f7ef8,phon_replication,74,52,64,0,28,0,0,0,75,75,53,49
61478d176cf1813682a1d37e,phon_replication,79,-57,40,19,-26,28,100,40,75,65,33,56
6147a46c86c01065f87751d5,phon_replication,90,100,70,95,14,80,100,100,90,78,80,93
6148a31571fc73becd361f34,phon_replication,100,100,81,100,71,95,100,0,100,100,0,100
6148f3ef38195690fd45f311,phon_replication,32,-11,35,74,-31,-43,85,54,76,80,-6,17
6149ed15df40b8f9eccca24d,phon_replication,92,0,0,74,6,37,96,10,90,67,24,29
614dc3c1554ec89d2e768382,phon_replication,80,38,75,90,38,60,100,0,100,100,0,0
614ed502d20735a665ebbfe8,phon_replication,30,29,50,75,25,60,85,50,90,90,30,25
6151dcc0bb3cbcc97573eeee,phon_replication,66,-33,66,91,-33,15,80,0,80,50,0,16
